YBL011W	222294.0
YBL085W	81957.0
YBR112C	473976.0
YBR114W	475162.0
YBR185C	608067.0
YBR257W	737333.0
YBR281C	776144.0
YCL050C	39434.0
YCL057C-A	24920.0
YDL070W	343068.0
YDL174C	159788.0
YDR060W	568213.0
YDR222W	886344.0
YDR501W	1412798.0
YEL015W	146063.0
YEL025C	124867.0
YER111C	405566.0
YFL036W	79494.0
YGL097W	322483.0
YGL103W	312060.0
YGR194C	873750.0
YGR260W	997860.0
YGR264C	1007482.0
YGR266W	1008179.0
YGR281W	1038208.0
YHR006W	114087.0
YHR013C	127815.0
YHR071W	229406.0
YIL031W	277075.0
YIL144W	68352.0
YJL003W	443738.0
YJL083W	288993.0
YJL084C	288349.0
YJL196C	78449.0
YJR077C	577812.0
YJR138W	684132.0
YKL122C	219465.0
YLL031C	80873.0
YLR114C	371867.0
YLR115W	372509.0
YLR259C	624738.0
YLR260W	625418.0
YLR274W	651553.0
YLR325C	740963.0
YML075C	113561.0
YML111W	41360.0
YMR100W	438310.0
YMR122W-A	483923.0
YMR208W	657510.0
YNL015W	613554.0
YNL305C	61876.0
YNR017W	671515.0
YOL002C	305009.0
YOL100W	109273.0
YOL103W	104084.0
YOL135C	55883.0
YOR020W-A	352585.0
YOR076C	453393.0
YOR246C	767367.0
YOR290C	830884.0
YOR320C	885683.0
YOR321W	886463.0
YOR350C	959447.0
YOR352W	961694.0
YOR354C	967804.0
YPL088W	387641.0
YPL120W	322138.0
YPL152W	265082.0
YPL160W	247036.0
YPL163C	242821.0
YPL274W	25097.0
YPR013C	585328.0
YPR029C	626901.0
YPR164W	865463.0
